date,tournament,adversario,categoria_adversario,rank,gols_brasil,gols_adversario
2006-06-22,FIFA World Cup,Japan,B,18.0,4.0,1.0
2006-06-27,FIFA World Cup,Ghana,D,48.0,3.0,0.0
2006-07-01,FIFA World Cup,France,A,8.0,0.0,1.0
2006-08-16,Friendly,Norway,D,49.0,1.0,1.0
2006-09-03,Friendly,Argentina,A,3.0,3.0,0.0
2006-09-05,Friendly,Wales,D,56.0,2.0,0.0
2006-10-10,Friendly,Ecuador,C,30.0,2.0,1.0
2006-11-15,Friendly,Switzerland,B,15.0,2.0,1.0
2007-02-06,Friendly,Portugal,A,8.0,0.0,2.0
2007-03-24,Friendly,Chile,C,32.0,4.0,0.0
2007-03-27,Friendly,Ghana,B,19.0,1.0,0.0
2007-06-01,Friendly,England,A,8.0,1.0,1.0
2007-06-05,Friendly,Turkey,B,19.0,0.0,0.0
2007-06-27,Copa América,Mexico,C,26.0,0.0,2.0
2007-07-01,Copa América,Chile,D,53.0,3.0,0.0
2007-07-04,Copa América,Ecuador,D,44.0,1.0,0.0
2007-07-07,Copa América,Chile,D,53.0,6.0,1.0
2007-07-10,Copa América,Uruguay,C,30.0,2.0,2.0
2007-07-15,Copa América,Argentina,A,5.0,3.0,0.0
2007-08-22,Friendly,Algeria,E,73.0,2.0,0.0
2007-09-09,Friendly,USA,B,17.0,4.0,2.0
2007-09-12,Friendly,Mexico,B,11.0,3.0,1.0
2007-10-14,FIFA World Cup qualification,Colombia,B,24.0,0.0,0.0
2007-10-17,FIFA World Cup qualification,Ecuador,D,57.0,5.0,0.0
2007-11-18,FIFA World Cup qualification,Peru,E,61.0,1.0,1.0
2007-11-21,FIFA World Cup qualification,Uruguay,B,17.0,2.0,1.0
2008-02-06,Friendly,Republic of Ireland,C,36.0,1.0,0.0
2008-03-26,Friendly,Sweden,B,24.0,1.0,0.0
2008-05-31,Friendly,Canada,E,62.0,3.0,2.0
2008-06-06,Friendly,Venezuela,E,63.0,0.0,2.0
2008-06-15,FIFA World Cup qualification,Paraguay,C,28.0,0.0,2.0
